x;qx
0;0,000000
1;0,000637
2;0,000430
3;0,000357
4;0,000278
5;0,000255
6;0,000244
7;0,000234
8;0,000216
9;0,000209
10;0,000212
11;0,000219
12;0,000228
13;0,000240
14;0,000254
15;0,000269
16;0,000284
17;0,000301
18;0,000316
19;0,000331
20;0,000345
21;0,000357
22;0,000366
23;0,000373
24;0,000376
25;0,000376
26;0,000378
27;0,000382
28;0,000393
29;0,000412
30;0,000444
31;0,000499
32;0,000562
33;0,000631
34;0,000702
35;0,000773
36;0,000841
37;0,000904
38;0,000964
39;0,001021
40;0,001079
41;0,001142
42;0,001215
43;0,001299
44;0,001397
45;0,001508
46;0,001616
47;0,001734
48;0,001860
49;0,001995
50;0,002138
51;0,002449
52;0,002667
53;0,002916
54;0,003196
55;0,003624
56;0,004200
57;0,004693
58;0,005273
59;0,005945
60;0,006747
61;0,007676
62;0,008757
63;0,010012
64;0,011280
65;0,012737
66;0,014409
67;0,016075
68;0,017871
69;0,019802
70;0,022206
71;0,024570
72;0,027281
73;0,030387
74;0,033900
75;0,037834
76;0,042169
77;0,046906
78;0,052123
79;0,057927
80;0,064368
81;0,072041
82;0,080486
83;0,089718
84;0,099779
85;0,110757
86;0,122797
87;0,136043
88;0,150590
89;0,166420
90;0,183408
91;0,199769
92;0,216605
93;0,233662
94;0,250693
95;0,267491
96;0,283905
97;0,299852
98;0,315296
99;0,330207
100;0,344556
101;0,358628
102;0,371685
103;0,383040
104;0,392003
105;0,397886
106;0,400000
107;0,400000
108;0,400000
109;0,400000
110;0,400000
111;0,400000
112;0,400000
113;0,400000
114;0,400000
115;0,400000
116;0,400000
117;0,400000
118;0,400000
119;0,400000
120;1,000000
;
;
;
;
;
;
